oid;PLZ;Ort
503;1442;Montagny-Yverdon
504;1443;Champvent
505;1443;Essert-s-Champvent
506;1443;Villars-Champvent
507;1445;Vuiteboeuf
508;1446;Baulmes
509;1450;Ste-Croix
510;1450;La Sagne VD
511;1450;Le Château-Croix
512;1452;Les Rasses
513;1453;Bullet
514;1453;Mauborget
515;1454;L'Auberson
516;1454;La Vraconnaz
517;1462;Yvonand
518;1462;Arrissoules
519;1463;Rovray
520;1464;Chavannes-le-Chêne
521;1464;Chêne-Pâquier
522;1468;Cheyres
523;1470;Estavayer-le-Lac
524;1470;Lully FR
525;1473;Font
526;1473;Châtillon FR
527;1474;Châbles FR
528;1474;Bollion
529;1474;Seiry
530;1482;Cugy FR
531;1483;Montet (Broye)
532;1483;Frasses
533;1483;Vesin
534;1484;Aumont
535;1484;Granges-de-Vesin
536;1485;Nuvilly
537;1486;Vuissens
538;1487;Champtauroz
539;1488;Treytorrens-Payern
540;1489;Murist
541;1489;Franex
542;1503;Ecublens FR
543;1510;Moudon
544;1510;Syens
545;1512;Chavannes-s-Moudon
546;1513;Hermenches
547;1513;Rossenges
548;1514;Bussy-sur-Moudon
549;1515;Villars-le-Comte
550;1515;Neyruz-sur-Moudon
551;1516;Denezy
552;1516;Prévondavaux
553;1521;Curtilles
554;1522;Lucens
555;1522;Oulens-sur-Lucens
556;1523;Granges-Marnand
557;1524;Marnand
558;1525;Henniez
559;1525;Seigneux
560;1526;Forel-sur-Lucens
561;1526;Cremin
562;1527;Villeneuve FR
563;1528;Surpierre
564;1528;Praratoud
565;1529;Cheiry
566;1530;Payerne
567;1530;Payerne Fil. Colis
568;1532;Fétigny
569;1533;Ménières
570;1534;Sassel
571;1534;Chapelle (Broye)
572;1535;Combremont-Grand
573;1536;Combremont-Petit
574;1541;Bussy FR
575;1541;Morens FR
576;1541;Sévaz
577;1542;Rueyres-les-Prés
578;1543;Grandcour
579;1544;Gletterens
580;1545;Chevroux
581;1551;Vers-chez-Perrin
582;1552;Trey
583;1553;Châtonnaye
584;1554;Sédeilles
585;1554;Rossens VD
586;1555;Villarzel
587;1556;Villars-Bramard
588;1556;Cerniaz VD
589;1557;Dompierre VD
590;1562;Corcelles-Payerne
591;1563;Dompierre FR
592;1564;Domdidier
593;1565;Missy
594;1565;Vallon
595;1566;St-Aubin FR
596;1567;Delley
597;1568;Portalban
598;1569;Autavaux
599;1569;Forel FR
600;1569;Montbrelloz
601;1580;Avenches
602;1580;Oleyres
603;1582;Donatyre
604;1583;Villarepos
605;1584;Villars-le-Grand
606;1584;Les Friques
607;1585;Salavaux
608;1585;Bellerive VD
609;1585;Cotterd
610;1586;Vallamand
611;1587;Montmagny
612;1587;Constantine
613;1588;Cudrefin
614;1588;Champmartin
615;1589;Chabrey
616;1595;Faoug
617;1595;Clavaleyres
618;1607;Palézieux-Village
619;1607;Palézieux-Gare
620;1607;Les Tavernes
621;1607;Les Thioleyres
622;1608;Oron-le-Châtel
623;1608;Bussigny-sur-Oron
624;1608;Chesalles-sur-Oron
625;1608;Chapelle (Glâne)
626;1609;St-Martin FR
627;1609;Besencens
628;1609;Fiaugères
629;1609;Le Jordil
630;1610;Oron-la-Ville
631;1610;Châtillens
632;1610;Vuibroye
633;1611;Le Crêt-p-Semsales
634;1612;Ecoteaux
635;1613;Maracon
636;1613;La Rogivue
637;1614;Granges (Veveyse)
638;1615;Bossonnens
639;1616;Attalens
640;1617;Remaufens
641;1618;Châtel-St-Denis
642;1619;Les Paccots
643;1623;Semsales
644;1623;La Rougève
645;1624;La Verrerie
646;1624;Grattavache
647;1624;Progens
648;1625;Sâles (Gruyère)
649;1625;Maules
650;1626;Romanens
651;1626;Treyfayes
652;1626;Rueyres-Treyfayes
653;1627;Vaulruz
654;1628;Vuadens
655;1630;Bulle
656;1630;Bulle 1
657;1630;Bulle 2
658;1630;Bulle Fil. Colis
659;1631;Bulle
660;1632;Riaz
661;1633;Marsens
662;1634;La Roche FR
663;1635;La Tour-de-Trême
664;1636;Broc
665;1637;Charmey (Gruyère)
666;1638;Morlon
667;1641;Vuippens
668;1642;Sorens
669;1643;Gumefens
670;1644;Avry-devant-Pont
671;1645;Le Bry
672;1646;Echarlens
673;1647;Corbières
674;1648;Hauteville
675;1649;Pont-la-Ville
676;1651;Villarvolard
677;1652;Botterens
678;1652;Villarbeney
679;1653;Crésuz-Châtel-Mont
680;1653;Crésuz
681;1653;Châtel-Montsalvens
682;1654;Cerniat FR
683;1656;Jaun
684;1656;Im Fang
685;1657;Abländschen
686;1661;Pâquier-Montbarry
687;1662;Pringy
688;1662;Moléson-Village
689;1663;Gruyères
