pid;Anrede;PLZ;Ort;idPersonenTyp;import
14513;3;3012;Bern;1;0
21192;3;3018;Bern;1;0
20874;2;3098;Schliern b. Köniz;1;0
21161;3;3400;Burgdorf;1;0
10210;3;3008;Bern;1;9
15781;2;3072;Ostermundigen;1;0
14036;2;3014;Bern;1;0
13072;2;3006;Bern;1;0
13272;3;3018;Bern;1;0
12777;2;3027;Bern;1;0
13521;3;3014;Bern;1;0
12871;3;3000;Bern;1;0
14073;3;3123;Belp;1;0
14148;3;3008;Bern;1;0
14409;2;3065;Bolligen;1;0
12994;3;3646;Einigen;1;0
13129;2;3008;Bern;1;0
13369;3;3014;Bern;1;0
13518;3;3116;Kirchdorf BE;1;0
13684;2;3011;Bern;1;0
13858;2;3006;Bern;1;0
13970;3;3011;Bern;1;0
14341;2;3018;Bern;1;0
14580;3;3662;Seftigen;1;0
14693;2;3012;Bern;1;0
15272;1;3007;Bern;1;0
15341;2;3006;Bern;1;0
14860;2;3019;Bern;1;0
14947;1;3011;Bern;1;0
15044;2;3072;Ostermundigen;1;0
15149;3;3012;Bern;1;0
15344;2;3006;Bern;1;0
15807;3;3014;Bern;1;0
16106;2;3172;Niederwangen BE;1;0
16300;2;4552;Derendingen;1;0
16357;2;3012;Bern;1;0
16656;3;3018;Bern;1;0
16795;3;3027;Bern;1;0
15717;2;5063;Wölflinswil;1;0
15882;2;0000;Southampton;1;0
16017;2;6262;Langnau b. Reiden;1;0
16286;3;3052;Zollikofen;1;0
16270;3;3012;Bern;1;0
16496;3;3007;Bern;1;0
16641;2;3150;Schwarzenburg;1;0
16863;2;3027;Bern;1;0
17154;3;3007;Bern;1;0
17017;3;3014;Bern;1;0
17135;3;3006;Bern;1;0
17661;1;3014;Bern;1;0
17760;3;3004;Zürich;1;0
18799;1;3011;Bern;1;0
17933;2;3005;Bern;1;0
18060;2;3007;Bern;1;0
18087;2;3012;Bern;1;0
17639;2;3604;Thun;1;0
17904;3;6340;Baar;1;0
20915;2;3014;Bern;1;0
18729;3;3033;Wohlen b. Bern;1;0
18760;3;3008;Bern;1;0
18951;2;8006;Zürich;1;0
19108;2;3005;Bern;1;0
19129;3;3052;Zollikofen;1;0
18546;3;3005;Bern;1;0
18665;3;0000;Chiampo;1;0
18822;2;3012;Bern;1;0
18983;3;3007;Bern;1;0
19097;1;2000;Neuchâtel;1;0
19580;2;3098;Schliern b. Köniz;1;0
19636;2;3032;Hinterkappelen;1;0
19714;2;3005;Bern;1;0
19379;2;3006;Bern;1;0
19532;3;3012;Bern;1;0
20042;3;3014;Bern;1;0
20306;2;2502;Biel/Bienne;1;0
20363;2;3011;Bern;1;0
20604;2;3072;Ostermundigen;1;0
20711;3;3251;Wengi b. Büren;1;0
19938;2;3018;Bern;1;0
19939;2;3014;Bern;1;0
19940;3;00000;Bologna;1;0
19941;3;3014;Bern;1;0
19942;2;3303;Jegenstorf;1;0
19943;2;4058;Basel;1;0
19944;2;3254;Balm b. Messen;1;0
19945;2;3027;Bern;1;0
19946;3;3027;Bern;1;0
19947;3;3018;Bern;1;0
19948;2;3014;Bern;1;0
19949;3;3032;Hinterkappelen;1;0
19950;2;3018;Bern;1;0
19951;2;3012;Bern;1;0
19952;2;3018;Bern;1;0
19953;2;3013;Bern;1;0
19954;3;3604;Thun;1;0
19955;3;3007;Bern;1;0
19956;3;3007;Bern;1;0
19957;3;3005;Bern;1;0
19958;3;4054;Basel;1;0
20605;3;3011;Bern;1;0
20606;2;3012;Bern;1;0
19867;2;2502;Biel/Bienne;1;0
19868;3;3012;Bern;1;0
19869;2;2502;Biel;1;0
19870;3;3006;Bern;1;0
19871;3;3006;Bern;1;0
19872;2;3018;Bern;1;0
19873;3;3067;Boll;1;0
19874;2;6438;Ibach;1;0
19875;2;0000;Rhodos;1;0
19876;3;3013;Bern;1;0
20895;2;3007;Bern;1;0
19878;3;3006;Bern;1;0
19879;2;3006;Bern;1;0
19880;3;3013;Bern;1;0
19881;2;3008;Bern;1;0
19882;3;37033;Verona;1;0
19883;2;3018;Bern;1;0
19884;2;8052;Zürich;1;0
19885;1;3097;Liebefeld;1;0
19886;3;3074;Muri b. Bern;1;0
19887;2;3400;Burgdorf;1;0
19888;3;3008;Bern;1;0
19889;3;3014;Bern;1;0
19890;2;3174;Thörishaus;1;0
19891;3;3018;Bern;1;0
19892;2;2114;Fleurier;1;0
19893;3;3323;Bäriswil BE;1;0
19894;1;3011;Bern;1;0
19895;3;2208;Les Hauts-Geneveys;1;0
19896;2;3005;Bern;1;0
19897;3;3014;Bern;1;0
19898;3;5043;Holziken;1;0
19899;3;1066;Epalinges;1;0
19900;2;16341;Zepernick;1;0
19901;3;3012;Bern;1;0
19902;3;3006;Bern;1;0
19903;3;3037;Herrenschwanden;1;0
19904;2;1700;Fribourg;1;0
19905;3;0000;Mexico;1;0
19906;2;3000;Bern;1;0
19907;2;0000;Vila- Seca;1;0
19908;2;3012;Bern;1;0
19909;3;3014;Bern;1;0
19910;2;3014;Bern;1;0
19911;2;3012;Bern;1;0
19912;3;3047;Bremgarten b. Bern;1;0
19913;1;9001;St. Gallen;1;0
19914;1;3000;Bern 22;1;0
