pgid;idGGST;idPerson;FinderVerlierer
28069;1;12712;1
28405;157;2;1
28406;158;3807;1
30418;1290;14212;0
30419;1237;14213;0
30420;1291;12418;1
30421;1291;14214;0
30422;1292;13309;1
30423;1255;14216;0
30424;392;13215;0
30425;1293;14218;0
30426;1294;10210;1
30427;1295;14219;1
30428;1295;14220;0
30429;1122;14221;0
30430;1280;14222;0
30431;1296;14223;1
30432;1297;12418;1
30433;1297;14224;0
30434;1298;12418;1
30435;1298;14225;0
30436;1299;14226;1
30437;1299;14227;0
30438;1156;14228;0
30439;1300;14229;1
30440;1301;14230;1
30441;1301;14231;0
30442;1300;14232;0
30443;1207;14233;0
30444;1302;14234;1
30445;1303;11562;1
30446;1304;11562;1
30447;1305;11562;1
30448;1306;11562;1
30449;1306;14235;0
30450;1307;14237;1
30451;1307;14236;0
30452;1308;14238;1
30453;1308;13738;0
30454;1309;14239;1
30455;1312;14241;1
30456;1311;14243;0
30457;1314;14244;1
30458;1316;14245;1
30459;1317;1;1
30460;1319;14248;1
30461;1320;14250;0
30462;1322;12418;1
30463;1203;12780;1
30464;1324;12418;1
30465;1324;14254;0
30466;1326;10558;1
30467;1326;14257;0
30468;1328;15385;1
30469;1329;12418;1
30470;1330;12271;1
30471;1322;14260;0
30472;1333;14261;1
30473;1335;14263;1
30474;1336;14265;0
30475;1337;14266;0
30476;1338;14268;0
30477;1339;14270;0
30478;1340;14272;0
30479;1341;14274;0
30480;1342;14276;0
30481;1343;14278;0
30482;1345;12780;1
30483;1346;14281;1
30484;1348;12801;1
30485;1347;14283;0
30486;1350;14285;0
30487;799;14287;0
30488;1243;14287;0
30489;1352;14289;0
30490;1272;14287;0
30491;1354;14291;1
30492;1355;14293;1
30493;1235;14295;0
30494;1357;14296;0
30495;1353;14297;0
30496;1360;14300;1
30497;1361;14301;0
30498;1362;14303;1
30499;1363;14305;0
30500;1365;14307;1
30501;1366;14309;1
30502;1367;14311;1
30503;1369;14313;1
30504;1370;14314;0
30505;1372;14315;1
30506;1374;14316;1
30507;1376;14318;1
30508;1377;12418;1
30509;1378;15509;1
30510;1380;14323;1
30511;1309;14325;0
30512;1382;14327;1
30513;1384;14329;0
30514;1387;14327;1
30515;1351;14334;0
30516;1389;14335;0
30517;1391;14337;1
30518;1392;14339;1
30519;1393;14340;0
30520;1394;14342;0
30521;1395;14344;0
30522;1397;14346;1
30523;1398;14348;0
30524;1399;14287;0
30525;1400;14350;0
30526;1401;13625;1
30527;1402;14351;0
30528;1403;14353;0
30529;1405;14355;1
30530;1409;14359;1
30531;1407;11562;1
30532;1408;14359;1
30533;1410;14346;1
30534;1411;14363;0
30535;1459;14422;1
30536;1461;14424;1
30537;1462;14426;0
30538;1463;14428;0
30539;1464;14430;0
30540;1465;14432;0
30541;1466;14434;0
30542;1417;14435;0
30543;1469;14436;1
30544;1471;14412;1
30545;1472;14439;1
30546;1473;14441;1
30547;1475;8028;1
30548;1515;14485;1
30549;1476;14445;1
30550;1477;14447;0
30551;1478;14449;0
30552;1479;14450;0
30553;1481;12418;1
30554;1482;14451;0
30555;1483;13496;1
30556;1484;14454;1
30557;1485;14456;1
30558;1486;14458;1
30559;1487;2;1
30560;1488;14461;0
30561;1489;14462;0
30562;1490;14464;0
30563;1492;14466;1
30564;1494;13895;1
30565;1495;14467;1
30566;1497;13945;1
30567;1499;14469;1
30568;1500;14470;0
30569;1502;14472;1
30570;1503;2;1
30571;1505;14475;1
30572;1507;13024;1
30573;1506;14478;0
30574;1509;2;1
30575;1510;14481;1
30576;1511;14481;1
30577;1512;14481;1
30578;1513;14481;1
30579;1518;14481;1
30580;1517;13268;0
30581;1520;14487;1
30582;1522;14489;1
30583;1523;14491;1
30584;1524;14481;1
30585;1526;14481;1
30586;1527;14495;1
30587;1529;14497;1
30588;1475;14499;0
30589;1531;14501;1
30590;1531;14503;0
30591;1533;14504;1
30592;1534;14505;1
30593;1534;14506;0
30594;1521;14507;0
30595;1438;14508;0
30596;1535;2;1
30597;1522;13592;0
30598;1536;14499;1
30599;1539;13024;1
30600;1540;11983;1
30601;1541;13580;1
30602;1542;13580;1
30603;1542;14513;0
30604;1543;14514;0
30605;1544;14515;0
30606;1545;14516;0
