sid;Strassenbezeichnung
1;Aarbergergasse
2;Aarbühlstrasse
3;Aargauerstalden
4;Aarhaldenstrasse
5;Aarstrasse
6;Abendstrasse
7;Aberlistrasse
8;Aebistrasse
9;Aegertenstrasse
10;Aehrenweg
11;Agassizstrasse
12;Ahornweg
13;Alemannenstrasse
14;Alexandraweg
15;Alleeweg
16;Allmendstrasse
17;Alpeneggstrasse
18;Alpenstrasse
19;Altenbergrain
20;Altenbergstrasse
21;Alter Aargauerstalden
22;Amietstrasse
23;Amselweg
24;Amthausgässchen
25;Amthausgasse
26;Anemonenweg
27;Ankerstrasse
28;Ansermetstrasse
29;Anshelmstrasse
30;Antoniergässchen
31;Apgarweg
32;Archivstrasse
33;Armandweg
34;Asterweg
35;Asylweg
36;Attinghausenstrasse
37;Autobahn A1
38;Autobahn A12
39;Autobahn A6
40;Bäckereiweg
41;Badgasse
42;Bahnhofplatz
43;Bahnhöheweg
44;Bahnstrasse
45;Balderstrasse
46;Balmerstrasse
47;Balmweg
48;Balthasarstrasse
49;Baltzerstrasse
50;Bankgässchen
51;Bantigerstrasse
52;Bantigerweg
53;Bärenplatz
54;Baumgartenstrasse
55;Beatusstrasse
56;Beaulieurain
57;Beaulieustrasse
58;Beaumontweg
59;Belpstrasse
60;Benteliweg
61;Berchtoldstrasse
62;Bernastrasse
63;Bernstrasse
64;Bethlehemstrasse
65;Beundenfeldstrasse
66;Bibliotheksgässchen
67;Biderstrasse
68;Bienenstrasse
69;Bierhübeliweg
70;Billeweg
71;Bim Zytglogge
72;Birkenweg
73;Bitziusstrasse
74;Blockweg
75;Blumenbergstrasse
76;Blumensteinstrasse
77;Blumenweg
78;Böcklinstrasse
79;Bogenschützenstrasse
80;Bolligenstrasse
81;Bollwerk
82;Bonstettenstrasse
83;Bornweg
84;Bottigenstrasse
85;Bovetstrasse
86;Breitenrainplatz
87;Breitenrainstrasse
88;Breiteweg
89;Breitfeldstrasse
90;Bremgartenstrasse
91;Bridelstrasse
92;Brückenstrasse
93;Brückfeldstrasse
94;Brüggbodenstrasse
95;Brügglerweg
96;Brünigweg
97;Brünnackerstrasse
98;Brunnadernrain
99;Brunnadernstrasse
100;Brünnenstrasse
101;Brunngasse
102;Brunngasshalde
103;Brunnhofweg
104;Brunnmattstrasse
105;Bubenbergplatz
106;Bubenbergrain
107;Bubenberg-Unterführung
108;Buchdruckerweg
109;Buchenweg
110;Buchfeldweg
111;Buchserstrasse
112;Buchweg
113;Bühlplatz
114;Bühlstrasse
115;Bümplizstrasse
116;Bundesbahnweg
117;Bundesgasse
118;Bundesplatz
119;Bundesrain
120;Bundesterrasse
121;Burckhardtstrasse
122;Bürenstrasse
123;Burgdorfholzstrasse
124;Burgernzielrain
125;Burgernzielweg
126;Burgfeldweg
127;Bürglenstrasse
128;Burgtreppe
129;Burgunderstrasse
130;Buristrasse
131;Bürkiweg
132;Cäcilienplatz
133;Cäcilienrain
134;Cäcilienstrasse
135;Carl-Lutz-Weg
136;Casinoplatz
137;Cedernstrasse
138;Centralweg
139;Chaletweg
140;Chaponnièrepark
141;Chavezstrasse
142;Chilbiplatz
143;Choisystrasse
144;Christoffelgasse
145;Christoffel-Unterführung
146;Chutzenstrasse
147;Colombstrasse
148;Cyrostrasse
149;Dählhölzliweg
150;Dahliaweg
151;Dalmaziquai
152;Dalmazirain
153;Dammweg
154;Dändlikerrain
155;Dändlikerweg
156;Dapplesweg
157;Daxelhoferstrasse
158;Denzlerstrasse
159;Depotstrasse
160;Diesbachstrasse
161;Dietlerstrasse
162;Distelweg
163;Dittlingerweg
164;Donnerbühlweg
165;Dorngasse
166;Drosselweg
167;Dübystrasse
168;Dufourstrasse
169;Dunantstrasse
170;Dunkerstrasse
171;Effingerstrasse
172;Egelbergstrasse
173;Egelgasse
174;Egghölzlistrasse
175;Eggimannstrasse
176;Eichholzstrasse
177;Eichmattweg
178;Eigerplatz
179;Eigerstrasse
180;Einsteinstrasse
181;Elfenauweg
182;Elfenstrasse
183;Elisabethenstrasse
184;Engehaldenstrasse
185;Engerain
186;Engeriedweg
187;Engestrasse
188;Englische Anlagen
189;Ensingerstrasse
190;Erikaweg
191;Erlachstrasse
192;Erlenweg
193;es promeniert
194;Eschenweg
195;Europaplatz
196;Eymattstrasse
197;Fabrikstrasse
198;Fährstrasse
199;Falkenhöheweg
200;Falkenplatz
201;Falkenweg
202;Familienspaziergang
203;Favrestrasse
204;Federweg
205;Feldeggweg
206;Feld-rhÿthmen
207;Fellenbergstrasse
208;Fellerstrasse
209;Felsenaustrasse
210;Felshaldenweg
211;Fichtenweg
212;Finkenhubelweg
213;Finkenrain
214;Finstergässchen
215;Fischermättelistrasse
216;Fischerweg
217;Fliederweg
218;Florastrasse
219;Fluhweg
220;Flurstrasse
221;Forrerstrasse
222;Forsthausweg
223;Forstweg
224;Frankenstrasse
225;Freiburgstrasse
226;Freieckweg
227;Freiestrasse
228;Freudenbergerplatz
229;Fricktreppe
230;Frickweg
231;Friedbühlstrasse
232;Friedeckweg
233;Friedensstrasse
234;Friedheimweg
235;Friedhofweg
236;Friedlistrasse
237;Frikartweg
238;Frohbergweg
239;Fröschmattstrasse
240;Funkerstrasse
